miRTarBase ID	miRNA	Species (miRNA)	Target Gene	Target Gene (Entrez ID)	Species (Target Gene)	Experiments	Support Type	References (PMID)	mirbase_fam
MIRT734339	hsa-miR-506-5p	Homo sapiens	IQGAP1	8826	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	26398880	mir-506
MIRT734353	hsa-miR-1908-5p	Homo sapiens	SKI	6497	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	27256397	mir-1908
MIRT734364	hsa-miR-506-3p	Homo sapiens	COTL1	23406	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	27893417	mir-506
MIRT734431	hsa-miR-197-5p	Homo sapiens	IGFBP5	3488	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	25990270	mir-197
MIRT734513	hsa-miR-197-3p	Homo sapiens	RAN	5901	Homo sapiens	Immunofluorescence//Luciferase reporter assay//Microarray	Functional MTI	26581983	mir-197
MIRT734514	hsa-miR-506-3p	Homo sapiens	CDH2	1000	Homo sapiens	Luciferase reporter assay	Functional MTI	25230372	mir-506
MIRT734670	hsa-miR-885-5p	Homo sapiens	CTNNB1	1499	Homo sapiens	Immunohistochemistry//In situ hybridization//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	27738331	mir-885
MIRT734716	hsa-miR-892a	Homo sapiens	CD226	10666	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	27883251	mir-892a
MIRT734725	hsa-miR-506-3p	Homo sapiens	PIM3	415116	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	26238203	mir-506
MIRT734874	hsa-miR-506-3p	Homo sapiens	FLOT1	10211	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	25793370	mir-506
MIRT735077	hsa-miR-489-3p	Homo sapiens	MMP7	4316	Homo sapiens	Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	28189067	mir-489
MIRT735457	hsa-miR-541-3p	Homo sapiens	TGIF2	60436	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	27448300	mir-541
