mirfam,expression
Eutherian,8.086241
Eutherian,7.183723
Eutherian,7.737307
Eutherian,1.92337
Eutherian,1.461615
Eutherian,1.678218
Eutherian,2.340966
Eutherian,5.679006
Eutherian,5.210725
Eutherian,5.440934
Eutherian,4.643688
Eutherian,1.948788
Eutherian,0.780094
Eutherian,2.257955
Eutherian,1.885727
conserved,5.964035
conserved,6.029469
conserved,5.485819
conserved,7.166295
conserved,9.714238
conserved,9.064934
conserved,9.356219
conserved,10.292554
conserved,0.529832
conserved,0.544671
conserved,0.466233
conserved,0.754649
conserved,0.865222
conserved,0.806419
conserved,0.586327
conserved,0.761631
Mir-1908,12.341557
Mir-1908,11.222263
Mir-1908,12.183753
Mir-1908,12.212899
Eutherian,2.002497
Eutherian,2.843688
Eutherian,2.617588
Eutherian,1.803418
Eutherian,4.572673
Eutherian,4.007638
Eutherian,4.64954
Eutherian,3.76787
conserved,3.60614
conserved,2.058503
conserved,3.475001
conserved,2.592828
conserved,0.693486
conserved,0.621222
conserved,0.726942
conserved,0.927078
conserved,6.62168
conserved,5.677518
conserved,6.693448
conserved,5.692228
conserved,5.811431
conserved,5.439378
conserved,4.870963
conserved,3.163261
conserved,1.369052
conserved,1.610301
conserved,1.143416
conserved,1.066273
conserved,1.369052
conserved,1.610301
conserved,1.143416
conserved,1.066273
conserved,4.832856
conserved,4.263815
conserved,5.099871
conserved,4.188335
conserved,0.625262
conserved,0.58123
conserved,0.439326
conserved,0.544674
conserved,0.848291
conserved,0.849348
conserved,0.963772
conserved,1.254069
Mir-197,4.358319
Mir-197,4.710769
Mir-197,2.694985
Mir-197,2.703766
conserved,1.148419
conserved,1.130929
conserved,0.963547
conserved,1.020889
conserved,1.148419
conserved,1.130929
conserved,0.963547
conserved,1.020889
conserved,1.035683
conserved,1.212647
conserved,1.054538
conserved,1.032288
conserved,2.791622
conserved,3.2632
conserved,2.532315
conserved,3.07948
conserved,1.833061
conserved,1.280345
conserved,2.489024
conserved,1.404146
conserved,0.715595
conserved,0.634978
conserved,0.812428
conserved,0.693609
conserved,6.081007
conserved,6.268378
conserved,4.728119
