UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene stable ID
	H0YAP1	ENSG00000120963
	E5RHR6	ENSG00000120963
	E5RIY7	ENSG00000120963
	A0A1D5RMS7	ENSG00000120963
	E9PPB0	ENSG00000166478
P52747		ENSG00000166478
	E9PMY8	ENSG00000166478
	E9PLN4	ENSG00000166478
	C9JTC5	ENSG00000166478
	E9PLS7	ENSG00000166478
	E9PS81	ENSG00000166478
	E7EN86	ENSG00000166478
	E9PJF2	ENSG00000166478
	C9JRS3	ENSG00000166478
	C9JCG1	ENSG00000166478
	C9J2G7	ENSG00000166478
	H7C1P6	ENSG00000166478
O43474		ENSG00000136826
	B7ZBT2	ENSG00000136826
	A0A087X0S4	ENSG00000136826
O95644		ENSG00000131196
	K7ER53	ENSG00000131196
	K7EQ04	ENSG00000131196
	F5H4S8	ENSG00000131196
Q99811	A0A140VJS2	ENSG00000167157
O75626	Q5T4E8	ENSG00000057657
O75626		ENSG00000057657
	B2REA5	ENSG00000057657
	A0A3B3IU23	ENSG00000057657
	B2REA4	ENSG00000057657
A6NMT0		ENSG00000109851
Q5VZF2	A2A3S3	ENSG00000139793
	A0A994J509	ENSG00000139793
	A0A994J506	ENSG00000139793
Q5VZF2		ENSG00000139793
	A0A8I5KYZ5	ENSG00000139793
	A0A7P0T9I3	ENSG00000139793
	O95205	ENSG00000139793
	A0A8I5KU79	ENSG00000139793
	Q5JSC0	ENSG00000139793
P40426		ENSG00000167081
	Q5JS98	ENSG00000167081
	H3BLX0	ENSG00000167081
	U3KQA2	ENSG00000167081
	H0Y5D0	ENSG00000167081
Q9BRP0		ENSG00000125850
P18583		ENSG00000159140
	A0A994J4Y9	ENSG00000159140
	J3QSZ5	ENSG00000159140
	A0A8Q3SI10	ENSG00000159140
	H7C1M2	ENSG00000159140
	H7C2G8	ENSG00000159140
	H7C1S4	ENSG00000159140
	H7C257	ENSG00000159140
Q15329		ENSG00000133740
	C9JYE9	ENSG00000133740
	E5RHD4	ENSG00000133740
	H0YBK0	ENSG00000133740
	H0YBW8	ENSG00000133740
	X6R4Y8	ENSG00000008196
Q92481		ENSG00000008196
Q01094		ENSG00000101412
	D6RDW0	ENSG00000142611
Q9HAZ2		ENSG00000142611
	D6RFY3	ENSG00000142611
	U3KQL6	ENSG00000142611
	H0YA13	ENSG00000142611
P19419	A0A024R1A7	ENSG00000126767
P19419		ENSG00000126767
A6NI15		ENSG00000151379
	F5GZI2	ENSG00000111704
Q9H9S0		ENSG00000111704
Q8TAX0		ENSG00000143867
	M0R113	ENSG00000160961
Q96JL9		ENSG00000160961
	M0R1P1	ENSG00000160961
	M0R0S8	ENSG00000160961
Q9Y462		ENSG00000147180
A0AVK6		ENSG00000129173
	E9PMT9	ENSG00000129173
Q9UKT9		ENSG00000161405
	A0A0C4DGN9	ENSG00000161405
O43623		ENSG00000019549
	A0A1X7SC17	ENSG00000019549
O15499		ENSG00000063515
	E5RIK9	ENSG00000156469
Q96E29		ENSG00000156469
	E5RIY4	ENSG00000156469
	E5RI75	ENSG00000156469
Q01196		ENSG00000159216
	V9GYT3	ENSG00000159216
	H9KVB1	ENSG00000159216
	A8MZI9	ENSG00000159216
	C9JWM1	ENSG00000159216
	V9GYT5	ENSG00000159216
	A0A0C4DG58	ENSG00000159216
Q9NX45		ENSG00000120669
	B4DPR9	ENSG00000127989
Q99551		ENSG00000127989
	C9JNM8	ENSG00000127989
	C9JE25	ENSG00000127989
	C9JU79	ENSG00000127989
		ENSG00000064489
	H3BNR1	ENSG00000064489
Q03933		ENSG00000025156
	V9GZ44	ENSG00000025156
Q15714	A0A024RDV8	ENSG00000102804
Q15714		ENSG00000102804
	C9JYW3	ENSG00000102804
	H7C4J9	ENSG00000102804
	C9IZ15	ENSG00000102804
	U3KQH2	ENSG00000112837
O95935		ENSG00000112837
	U3KQ31	ENSG00000112837
	U3KQQ9	ENSG00000112837
	M0R0V3	ENSG00000105750
Q03923		ENSG00000105750
	M0R0J7	ENSG00000105750
	M0QXL2	ENSG00000105750
	M0QZ75	ENSG00000105750
	M0QZN6	ENSG00000105750
	Q96HE0	ENSG00000105750
P35398		ENSG00000069667
	A0A0C4DFP5	ENSG00000069667
	A0A0C4DG53	ENSG00000069667
	H0YII6	ENSG00000069667
	H0YLS5	ENSG00000069667
	A0A087X2G0	ENSG00000069667
	I3L137	ENSG00000160229
Q6ZN08		ENSG00000160229
	M0QY27	ENSG00000160229
Q9NSD4		ENSG00000063587
	A6NFS0	ENSG00000063587
P51786		ENSG00000147117
Q9Y651		ENSG00000125285
	A0A087WV13	ENSG00000160352
	M0QY60	ENSG00000160352
	A0A087X1X4	ENSG00000160352
	A0A087WU35	ENSG00000160352
	A0A087X1Z8	ENSG00000160352
	I3L2D0	ENSG00000160352
	A0A087WX89	ENSG00000160352
Q86YF9		ENSG00000134874
Q8ND82		ENSG00000056277
	Q9UJJ2	ENSG00000056277
Q9H8G1		ENSG00000118620
	M0R0L5	ENSG00000118620
	M0R392	ENSG00000118620
	M0QXG3	ENSG00000118620
	M0QYF1	ENSG00000118620
	J3QRM2	ENSG00000131759
P10276	Q6I9R7	ENSG00000131759
P10276		ENSG00000131759
	A8MUP8	ENSG00000131759
